"ID"	"ID_SwissFIR"	"Category"	"Density"	"Matrix_unit_Density"	"Energy_kilojoules"	"Energy_kilocalories"	"Fat_total"	"Fatty_acids_saturated"	"Fatty_acids_monounsaturated"	"Fatty_acids_polyunsaturated"	"Cholesterol"	"Carbohydrates_available"	"Sugars"	"Starch"	"Dietary_fibres"	"Protein"	"Salt_NaCl"	"Alcohol"	"Water"	"Vitamin_A_activity_RE"	"Vitamin_A_activity_RAE"	"All-trans_retinol_equivalents"	"Beta-carotene_activity"	"Beta-carotene"	"Vitamin_B1_thiamine"	"Vitamin_B2_riboflavin"	"Vitamin_B6_pyridoxine"	"Vitamin_B12_cobalamin"	"Niacin"	"Folate"	"Panthotenic_acid"	"Vitamin_C_ascorbic_acid"	"Vitamin_D_calciferol"	"Vitamin_E_activity"	"Potassium_K"	"Sodium_Na"	"Chloride_Cl"	"Calcium_Ca"	"Magnesium_Mg"	"Phosphorus_P"	"Iron_Fe"	"Iodide_I"	"Zinc_Zn"	"Selenium_Se"	"Record_has_changed"	"FileVersion"	"Branded"	"Language"
10	811090	70	0	0	569.00	135.00	4.30	1.30	0.80	1.10	350.00	4.60	0.00	0.00	0.00	19.60	0.20	0.00	70.30	11457.00	11443.00	11430.00	160.00	0.00	0.24	2.54	0.90	60.00	14.44	240.00	7.90	23.00	0.30	0.24	300.00	68.00	90.00	9.00	19.00	330.00	7.40	4.30	4.00	0.00	0	200	0	0.00
11	812048	70	0	0	437.00	104.00	2.40	1.20	1.30	0.40	72.00	0.00	0.00	0.00	0.00	20.50	0.10	0.00	75.30	6.00	5.00	0.00	0.00	0.00	0.08	0.19	0.51	1.60	0.00	7.00	1.50	0.00	5.00	0.50	330.00	57.00	68.00	4.90	20.00	190.00	0.80	1.90	3.30	0.00	0	200	0	0.00
12	812049	76	0	0	470.00	111.00	2.10	1.20	0.90	0.50	59.00	0.00	0.00	0.00	0.00	23.10	0.10	0.00	71.50	0.00	0.00	0.00	0.00	0.00	0.26	0.60	0.99	6.30	0.00	6.00	0.69	0.00	0.40	0.20	320.00	53.00	40.00	3.20	23.00	200.00	3.00	7.80	2.90	0.00	0	200	0	0.00
13	812050	70	0	0	415.00	98.00	1.10	0.50	0.50	0.30	66.00	0.00	0.00	0.00	0.00	22.00	0.10	0.00	75.20	6.00	5.00	0.00	0.00	0.00	0.08	0.19	0.46	1.60	0.00	7.00	1.50	0.00	5.00	0.50	360.00	51.00	68.00	4.80	22.00	200.00	0.60	1.90	3.30	0.00	0	200	0	0.00
14	812053	70	0	0	439.00	104.00	1.80	0.80	0.90	0.40	63.00	0.00	0.00	0.00	0.00	21.90	0.10	0.00	74.60	6.00	5.00	0.00	0.00	0.00	0.08	0.19	0.46	1.60	0.00	7.00	1.50	0.00	5.00	0.50	370.00	43.00	67.00	4.00	20.00	210.00	0.50	1.80	2.10	0.00	0	200	0	0.00
15	812054	70	0	0	429.00	102.00	2.40	1.10	1.30	0.40	72.00	0.00	0.00	0.00	0.00	20.00	0.10	0.00	74.10	6.00	5.00	0.00	0.00	0.00	0.08	0.19	0.51	1.60	0.00	7.00	1.50	0.00	5.00	0.29	330.00	57.00	68.00	4.70	19.00	190.00	0.60	0.80	3.70	0.00	0	200	0	0.00
16	812055	84	0	0	469.00	111.00	1.50	0.50	0.50	0.40	51.00	0.00	0.00	0.00	0.00	24.30	0.10	0.00	72.70	0.00	0.00	0.00	0.00	0.00	0.05	0.11	0.74	8.70	4.00	4.00	0.69	0.00	0.00	0.35	380.00	33.00	70.00	4.50	28.00	210.00	0.30	4.10	0.60	0.00	0	200	0	0.00
17	812058	87	0	0	493.00	117.00	3.30	1.90	1.90	0.40	72.00	0.00	0.00	0.00	0.00	21.80	0.10	0.00	73.00	9.00	9.00	9.00	0.00	0.00	0.18	0.06	0.51	3.61	0.00	6.00	0.92	0.00	2.90	0.50	330.00	44.00	79.00	3.80	23.00	200.00	1.90	0.80	2.30	8.70	0	200	0	0.00
18	812059	87	0	0	652.00	156.00	8.30	4.30	3.50	0.90	68.00	0.00	0.00	0.00	0.00	20.30	0.20	0.00	67.60	9.00	9.00	9.00	0.00	0.00	0.18	0.06	0.61	3.61	1.20	6.00	0.57	0.00	2.90	0.50	300.00	63.00	79.00	7.50	24.00	180.00	1.80	0.90	2.20	0.00	0	200	0	0.00
19	812060	87	0	0	644.00	154.00	8.40	4.30	3.70	1.00	66.00	0.00	0.00	0.00	0.00	19.60	0.20	0.00	69.90	0.00	0.00	0.00	0.00	0.00	0.18	0.06	0.36	3.61	1.20	6.00	0.57	0.00	6.10	0.50	310.00	60.00	75.00	4.60	18.00	170.00	1.30	0.70	4.30	0.00	0	200	0	0.00
20	812061	57	0	0	637.00	152.00	6.50	2.10	3.30	1.30	70.00	0.00	0.00	0.00	0.00	23.30	0.10	0.00	69.90	12.00	12.00	12.00	0.00	0.00	0.08	0.14	0.77	0.40	0.00	10.00	0.87	0.00	1.50	0.62	320.00	34.00	69.00	3.90	26.00	210.00	0.30	10.00	0.50	0.00	0	200	0	0.00
21	812062	57	0	0	530.00	126.00	3.30	1.30	1.70	0.90	56.00	0.00	0.00	0.00	0.00	24.00	0.10	0.00	69.70	12.00	12.00	12.00	0.00	0.00	0.08	0.14	0.57	0.40	0.00	10.00	0.87	0.00	1.50	0.62	330.00	39.00	69.00	4.60	26.00	210.00	0.50	10.00	0.60	12.00	0	200	0	0.00
22	812063	57	0	0	455.00	107.00	1.00	0.30	0.40	0.30	63.00	0.00	0.00	0.00	0.00	24.60	0.10	0.00	72.70	5.00	5.00	0.00	0.00	0.00	0.14	0.15	0.77	0.40	11.03	12.00	0.87	0.00	1.50	0.62	350.00	36.00	80.00	3.30	27.00	220.00	0.30	0.90	0.50	19.00	0	200	0	0.00
