"ID"	"Link"	"Alias"	"Lang"	"Primary"	"FileVersion"
150	906	"Cake dough (with vegetable fat), raw"	"E"	1	200
151	877	"Cake financier"	"E"	1	200
152	916	"Cake with carrots"	"E"	1	200
153	10486	"Calimocho (red wine mixed with cola)"	"E"	1	200
154	622	"Camembert, at least 25% fidm"	"E"	1	200
155	614	"Camembert, at least 45% fidm"	"E"	1	200
156	619	"Camembert, at least 50% fidm"	"E"	1	200
157	953	"Candy, toffee"	"E"	1	200
158	1644	"Cannelloni filled with meat, prepared"	"E"	1	200
159	1646	"Cannelloni filled with spinach and ricotta, prepared"	"E"	1	200
160	1121	"Cappuccino (without chocolate powder), no sugar added"	"E"	1	200
161	1692	"Capuns, prepared"	"E"	1	200
162	566	"Carrot juice"	"E"	1	200
163	355	"Carrot, raw"	"E"	1	200
164	1002	"Carrot, steamed (without addition of salt)"	"E"	1	200
165	275	"Cashew nut"	"E"	1	200
166	350	"Cauliflower, raw"	"E"	1	200
167	1004	"Cauliflower, steamed (without addition of salt)"	"E"	1	200
168	1660	"Celeriac piccata, prepared"	"E"	1	200
169	357	"Celeriac, raw"	"E"	1	200
170	1655	"Celeriac slices, breaded, prepared"	"E"	1	200
171	1013	"Celeriac, steamed"	"E"	1	200
172	366	"Celery, raw"	"E"	1	200
173	1026	"Celery, steamed (without addition of salt)"	"E"	1	200
174	1696	"Cereal flakes (average)"	"E"	1	200
175	1081	"Cervelat (Swiss sausage)"	"E"	1	200
176	376	"Chanterelle, raw"	"E"	1	200
177	1038	"Chanterelle, stewed (without addition of fat and salt)"	"E"	1	200
178	1569	"Cheese and sausage salad, prepared"	"E"	1	200
179	1601	"Cheese bread slices, prepared"	"E"	1	200
180	1196	"Cheese grated"	"E"	1	200
181	1546	"Cherry pie, baked (with cake dough)"	"E"	1	200
182	1545	"Cherry pie, baked (with puff pastry)"	"E"	1	200
183	882	"Cherry pie from Zug"	"E"	1	200
184	394	"Cherry, raw"	"E"	1	200
185	1052	"Cherry, stewed, drained (without addition of sugar)"	"E"	1	200
186	272	"Chestnut, raw"	"E"	1	200
187	680	"Chicken, breast (cut), raw"	"E"	1	200
188	23	"Chicken, breast, without skin, raw (France)"	"E"	1	200
189	22	"Chicken, breast, without skin, raw (Switzerland)"	"E"	1	200
190	21	"Chicken, breast, with skin, raw (France)"	"E"	1	200
191	20	"Chicken, breast, with skin, raw (Switzerland)"	"E"	1	200
192	13276	"Chicken, brest (schnitzel, ground), pan fried (without addition of fat and salt)"	"E"	1	200
193	1070	"Chicken egg, whole, hard boiled"	"E"	1	200
194	27	"Chicken, leg, without skin, raw (France)"	"E"	1	200
195	26	"Chicken, leg, without skin, raw (Switzerland)"	"E"	1	200
196	712	"Chicken, leg, with skin, raw"	"E"	1	200
197	25	"Chicken, leg, with skin, raw (France)"	"E"	1	200
198	24	"Chicken, leg, with skin, raw (Switzerland)"	"E"	1	200
199	13310	"Chicken, leg with skin, roasted (without addition of fat and salt)"	"E"	1	200
200	711	"Chicken, whole, with skin, raw"	"E"	1	200
201	13309	"Chicken, whole with skin, roasted (without addition of fat and salt)"	"E"	1	200
202	1059	"Chickpea, cooked (without addition of fat and salt)"	"E"	1	200
203	439	"Chickpea, dried"	"E"	1	200
204	447	"Chicory, raw"	"E"	1	200
205	1006	"Chicory, steamed (without addition of salt)"	"E"	1	200
206	1648	"Chili con carne, prepared"	"E"	1	200
207	437	"Chinese cabbage, raw"	"E"	1	200
208	1007	"Chinese cabbage, stewed (without addition of fat and salt)"	"E"	1	200
209	374	"Chives, fresh"	"E"	1	200
210	196	"Chocolate, dark"	"E"	1	200
211	960	"Chocolate powder"	"E"	1	200
212	889	"Chocolate ring cake"	"E"	1	200
213	807	"Chocolate sauce"	"E"	1	200
214	197	"Chocolate, white"	"E"	1	200
215	13322	"chop (average of veal, pork, lamb), pan fried (without addition of fat and salt)"	"E"	1	200
216	1107	"Chop (average of veal, pork, lamb), raw"	"E"	1	200
217	867	"Chräbeli (aniseed cookie)"	"E"	1	200
218	512	"Cider, 4 vol%"	"E"	1	200
219	513	"Cider, 6.2 vol%"	"E"	1	200
220	876	"Cinnamon cookie, star-shaped"	"E"	1	200
221	1126	"Citrus fruits (average), raw"	"E"	1	200
222	1683	"Cocktail sauce, home made with rapeseed mayonnaise"	"E"	1	200
223	581	"Cocoa powder"	"E"	1	200
224	888	"Coco macaroon"	"E"	1	200
225	284	"Coconut"	"E"	1	200
226	742	"Coconut, dried (coco flakes)"	"E"	1	200
227	601	"Coconut fat"	"E"	1	200
228	13350	"Cod, filet, steamed (without addition of fat and salt)"	"E"	1	200
229	285	"Cod, raw"	"E"	1	200
230	994	"Coffee, black, no sugar added"	"E"	1	200
231	69	"Coffee cream UHT"	"E"	1	200
232	983	"Coffee, instant, powder"	"E"	1	200
233	1188	"Coffee with coffee cream, no sugar added"	"E"	1	200
234	498	"Cola beverage, sweetened"	"E"	1	200
235	499	"Cola beverage, with sweetener"	"E"	1	200
236	10353	"Cold cuts (average)"	"E"	1	200
237	1573	"Coleslaw salad, prepared"	"E"	1	200
238	13388	"Common bean (all types), mature seed, cooked (without addition of fat and salt)"	"E"	1	200
239	13387	"Common bean (all types), mature seed, dried"	"E"	1	200
240	526	"Condensed milk, sweetened"	"E"	1	200
241	527	"Condensed milk, unsweetened"	"E"	1	200
242	1118	"Cooked cured meat (average)"	"E"	1	200
243	1116	"Cooked sausages (average)"	"E"	1	200
244	1113	"Cooked sausages not smoked (average)"	"E"	1	200
245	1112	"Cooked smoked sausages (average)"	"E"	1	200
246	51	"Cooking butter"	"E"	1	200
247	715	"Coppa (cured pork meat)"	"E"	1	200
248	1650	"Cordon bleu from pork schnitzel, fried"	"E"	1	200
249	1649	"Cordon bleu from veal schnitzel, fried"	"E"	1	200
250	940	"Cornflakes"	"E"	1	200
251	412	"Corn germ oil"	"E"	1	200
252	1619	"Corn semolina, cooked"	"E"	1	200
253	425	"Corn semolina, dried"	"E"	1	200
254	758	"Cotechino (pork sausage)"	"E"	1	200
255	505	"Cottage cheese"	"E"	1	200
256	1093	"Cotto (meat product)"	"E"	1	200
257	64	"Cow milk, skimmed, UHT"	"E"	1	200
258	950	"Cracker, salty snacks"	"E"	1	200
259	987	"Cranberry, fresh"	"E"	1	200
260	65	"Cream, 35% fat, pasteurized"	"E"	1	200
261	66	"Cream, 35% fat, UHT"	"E"	1	200
262	798	"Cream, at least 45 % milk fat, pasteurized"	"E"	1	200
263	1195	"Cream (average)"	"E"	1	200
264	567	"Cream cheese, min. 60% fidm"	"E"	1	200
265	67	"Cream, pasteurized, 25% fat"	"E"	1	200
266	924	"Cream slice"	"E"	1	200
267	68	"Cream, UHT"	"E"	1	200
268	918	"Crispbread, wholemeal"	"E"	1	200
269	920	"Crispbread, wholemeal, with linseeds"	"E"	1	200
270	919	"Crispbread, wholemeal, with sesame"	"E"	1	200
271	10406	"Croissant (average)"	"E"	1	200
272	913	"Croissant filled with nuts, puff pastry"	"E"	1	200
273	914	"Croissant filled with nuts, yeast dough"	"E"	1	200
274	835	"Croissant, pretzel"	"E"	1	200
275	491	"Cucumber, pickled"	"E"	1	200
276	354	"Cucumber, raw"	"E"	1	200
277	1182	"Curd cheese puff pastry (with butter), raw"	"E"	1	200
