ID	ID V 4.0	ID SwissFIR	Name	Synonyms	Category	Density	Matrix unit	Energy, kilojoules (kJ)	Derivation of value	Source	Energy, kilocalories (kcal)	Derivation of value	Source	Fat, total (g)	Derivation of value	Source	Fatty acids, saturated (g)	Derivation of value	Source	Fatty acids, monounsaturated (g)	Derivation of value	Source	Fatty acids, polyunsaturated (g)	Derivation of value	Source	Cholesterol (mg)	Derivation of value	Source	Carbohydrates, available (g)	Derivation of value	Source	Sugars (g)	Derivation of value	Source	Starch (g)	Derivation of value	Source	Dietary fibres (g)	Derivation of value	Source	Protein (g)	Derivation of value	Source	Salt (NaCl) (g)	Derivation of value	Source	Alcohol (g)	Derivation of value	Source	Wasser (g)	Derivation of value	Source	Vitamin A activity, RE (µg-RE)	Derivation of value	Source	Vitamin A activity, RAE (µg-RE)	Derivation of value	Source	All-trans retinol equivalents (µg-RE)	Derivation of value	Source	Beta- carotene activity (µg-BCE)	Derivation of value	Source	Beta-carotene (µg)	Derivation of value	Source	Vitamin B1 (thiamine) (mg)	Derivation of value	Source	Vitamin B2 (riboflavin) (mg)	Derivation of value	Source	Vitamin B6 (pyridoxine) (mg)	Derivation of value	Source	Vitamin B12 (cobalamin) (µg)	Derivation of value	Source	Niacin (mg)	Derivation of value	Source	Folate (µg)	Derivation of value	Source	Panthotenic acid (mg)	Derivation of value	Source	Vitamin C (ascorbic acid) (mg)	Derivation of value	Source	Vitamin D (calciferol) (µg)	Derivation of value	Source	Vitamin E activity (mg-ATE)	Derivation of value	Source	Potassium (K) (mg)	Derivation of value	Source	Sodium (Na) (mg)	Derivation of value	Source	Chloride (Cl) (mg)	Derivation of value	Source	Calcium (Ca) (mg)	Derivation of value	Source	Magnesium (Mg) (mg)	Derivation of value	Source	Phosphorus (P) (mg)	Derivation of value	Source	Iron (Fe) (mg)	Derivation of value	Source	Iodide (I) (µg)	Derivation of value	Source	Zinc (Zn) (mg)	Derivation of value	Source	Selenium (Se) (µg)	Derivation of value	Source	Record has changed
1148	4086		Eichhof Klosterbräu (5.1 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	164	Automated calculation		39	Automated calculation		<0.1	-	1045	<0.1	-	1045	n.d.			n.d.			0	Estimation	1003	2.1	-	1045	0	-	1045	n.d.			0.1	-	1045	0.4	-	1045	n.d.			4	Estimation	1047	93.3	Estimation	1003	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			1	-	1045	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1149	4087		Eichhof Lager (4.8 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	160	Automated calculation		38	Automated calculation		<0.1	-	1045	<0.1	-	1045	n.d.			n.d.			0	Estimation	1003	2.2	-	1045	0.2	-	1045	n.d.			0.1	-	1045	0.5	-	1045	n.d.			3.8	Estimation	1047	93.4	Estimation	1003	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			1	-	1045	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
13435			Energy drink, with sugar (Average of branded products)		Non-alcoholic beverages/Soft drinks	1	per 100ml food volume	185	Automated calculation		44	Automated calculation		0	-	1682	0	-	1682	n.d.			n.d.			n.d.			10.9	-	1682	10.8	-	1682	n.d.			0	-	1682	0	-	1682	0.2	-	1682	n.d.			89.1	-	1662	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			1.47	-	1682	1.75	-	1682	7.6	-	1682	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
13436			Energy drink, with sweetener (Average of branded products)		Non-alcoholic beverages/Soft drinks energy reduced	1	per 100ml food volume	3	Automated calculation		1	Automated calculation		0	-	1682	0	-	1682	n.d.			n.d.			n.d.			0.2	-	1682	0	-	1682	n.d.			0	-	1682	0	-	1682	0.2	-	1682	n.d.			99.8	-	1662	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			1.54	-	1682	1.77	-	1682	7.77	-	1682	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1140	4063		Feldschlösschen 2.4 (2.4 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	106	Automated calculation		25	Automated calculation		0	-	1050	0	-	1050	n.d.			n.d.			0	Estimation	1003	2.5	-	1050	<0.5	-	1050	n.d.			0	Estimation	1003	<0.5	-	1050	n.d.			1.9	Estimation	1050	95.1	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			<5	-	1050	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1158	3586		Feldschlösschen Alkoholfrei (<0.5 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	80	Automated calculation		19	Automated calculation		0	-	1052	0	-	1052	n.d.			n.d.			0	Estimation	1003	3.5	-	1052	1	-	1052	n.d.			0	Estimation	1003	<0.5	-	1052	n.d.			<0.4	-	1052	95.6	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			<5	-	1052	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1141	4062		Feldschlösschen Bügel (4.8 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	161	Automated calculation		39	Automated calculation		0	-	1054	0	-	1054	n.d.			n.d.			0	Estimation	1003	2.5	-	1054	<0.5	-	1054	n.d.			0	Estimation	1003	<0.5	-	1054	n.d.			3.8	Estimation	1054	93.2	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			<5	-	1054	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1142	4089		Feldschlösschen Hopfenperle (5.2 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	170	Automated calculation		41	Automated calculation		0	-	1051	0	-	1051	n.d.			n.d.			0	Estimation	1003	2.5	-	1051	<0.5	-	1051	n.d.			0	Estimation	1003	<0.5	-	1051	n.d.			4.1	Estimation	1051	92.9	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			<5	-	1051	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1143	4061		Feldschlösschen Original (4.8 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	161	Automated calculation		39	Automated calculation		0	-	1049	0	-	1049	n.d.			n.d.			0	Estimation	1003	2.5	-	1049	<0.5	-	1049	n.d.			0	Estimation	1003	<0.5	-	1049	n.d.			3.8	Estimation	1049	93.2	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			<5	-	1049	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1144	4059		Feldschlösschen Urtrüb (5 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	179	Automated calculation		43	Automated calculation		0	-	1053	0	-	1053	n.d.			n.d.			0	Estimation	1003	3	-	1053	<0.5	-	1053	n.d.			0	Estimation	1003	0.7	-	1053	n.d.			4	Estimation	1053	92.3	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			<5	-	1053	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1257			Four Roses Bourbon (40 vol%)		Alcoholic beverages/Spirits	0.9	per 100ml food volume	919	Automated calculation		222	Automated calculation		0	Estimation	1129	n.d.			n.d.			n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			31.7	Estimation	1065	68.3	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
