Banca dati svizzera dei valori nutritivi – Prodotti  a marchio V6.1 (28.03.2019)																																																																																																																																
																																																																																																																																
ID	ID V 4.0	ID SwissFIR	Nome	Sinonimi	Categoria	Densità	Unità di riferimento	Energia, kilojoules	Deduzione del valore	Fonte	Energia, calorie	Deduzione del valore	Fonte	Lipidi, totali (g)	Deduzione del valore	Fonte	Acidi grassi, saturi (g)	Deduzione del valore	Fonte	Acidi grassi, monoinsaturi (g)	Deduzione del valore	Fonte	Acidi grassi, polinsaturi (g)	Deduzione del valore	Fonte	Colesterolo (mg)	Deduzione del valore	Fonte	Glucidi, disponibili (g)	Deduzione del valore	Fonte	Zuccheri (g)	Deduzione del valore	Fonte	Amido (g)	Deduzione del valore	Fonte	Fibra alimentare (g)	Deduzione del valore	Fonte	Proteine (g)	Deduzione del valore	Fonte	Sale (NaCl) (g)	Deduzione del valore	Fonte	Alcool (g)	Deduzione del valore	Fonte	Acqua (g)	Deduzione del valore	Fonte	Attività di vitamina A, RE (µg-RE)	Deduzione del valore	Fonte	Attività di vitamina A, RAE (µg-RE)	Deduzione del valore	Fonte	Equivalenti di all-trans-retinolo (µg-RE)	Deduzione del valore	Fonte	Attività di beta-carotene (µg-BCE)	Deduzione del valore	Fonte	Beta-carotene (µg)	Deduzione del valore	Fonte	Vitamina B1 (tiamina) (mg)	Deduzione del valore	Fonte	Vitamina B2 (riboflavina) (mg)	Deduzione del valore	Fonte	Vitamina B6 (piridossina) (mg)	Deduzione del valore	Fonte	Vitamina B12 (cobalamina) (µg)	Deduzione del valore	Fonte	Niacina (mg)	Deduzione del valore	Fonte	Folati (µg)	Deduzione del valore	Fonte	Acido pantotenico (mg)	Deduzione del valore	Fonte	Vitamina C (acido ascorbico) (mg)	Deduzione del valore	Fonte	Vitamina D (calciferolo) (µg)	Deduzione del valore	Fonte	Attività di vitamina E (mg-ATE)	Deduzione del valore	Fonte	Potassio (K) (mg)	Deduzione del valore	Fonte	Sodio (Na) (mg)	Deduzione del valore	Fonte	Cloro (Cl) (mg)	Deduzione del valore	Fonte	Calcio (Ca) (mg)	Deduzione del valore	Fonte	Magnesio (Mg) (mg)	Deduzione del valore	Fonte	Fosforo (P) (mg)	Deduzione del valore	Fonte	Ferro (Fe) (mg)	Deduzione del valore	Fonte	Iodio (I) (µg)	Deduzione del valore	Fonte	Zinco (Zn)  (mg)	Deduzione del valore	Fonte	Selenio (Se) (µg)	Deduzione del valore	Fonte	Voce modificata
1095	3612		Acqua minerale Valais (Montis)		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	-	1025	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	nd			0	Stima	1003	100	Stima	1662	nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			0.3	-	1680	0.7	-	1680	1.2	-	1680	9	-	1680	2.2	-	1680	nd			nd			<2	-	1680	nd			<0.1	-	1025	No
45	3581	821008	Acqua minerale Valser Classic/Naturelle (St. Petersquelle)		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	nd			0	Stima	51	99.8	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0.1	-	"1017	1680"	0.9	-	1680	0.2	-	1680	44	-	1680	5.5	-	1680	nd			nd			nd			nd			nd			No
1047	3763		Acqua minerale Valser Silence (St. Paulsquelle)		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	nd			0	Stima	1003	100	Stima	1662	nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			0	-	1680	0	-	1680	<0.1	-	1680	5.4	-	1680	0.2	-	1680	nd			nd			0	-	1333	nd			nd			No
1179	4664		Acqua minerale Vichy-Célestins		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	nd			0	Stima	1003	99.7	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	6.6	-	1013	120	-	1013	24	-	1013	10	-	1013	1	-	1013	nd			nd			nd			nd			nd			No
550	3939	1001070	Acqua minerale Volvic		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	-	22	0	-	22	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	nd			0	Stima	51	100	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.6	-	1680	1.2	-	1680	1.5	-	1680	1.2	-	1680	0.8	-	1013	tr.	-	22	nd			0.1	-	1013	nd			nd			No
548	3940	1001067	Acqua minerale Zurzacher		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	-	22	0	-	22	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	nd			0	Stima	51	99.9	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.8	-	1680	29	-	1680	13	-	1680	1.6	-	1680	0	-	1680	nd			nd			3	-	1680	nd			nd			No
1253			Amaro Ramazzotti (30 vol%)		Bevande alcoliche/Altre bevande alcoliche	1.1	per 100 ml	1010	Calcolo automatizzato		242	Calcolo automatizzato		0	Stima	1129	nd			nd			nd			0	Stima	1129	19	Stima	1129	19	Stima	1129	nd			0	Stima	1129	0	Stima	1129	nd			23.7	Stima	1072	57.3	Calcolo automatizzato		nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			No
1254			Ballantine's 12 years old blended Scotch Whisky (40 vol%)		Bevande alcoliche/Spiritosi	0.9	per 100 ml	917	Calcolo automatizzato		221	Calcolo automatizzato		0	Stima	1129	nd			nd			nd			0	Stima	1129	0	Stima	1129	nd			nd			0	Stima	1129	0	Stima	1129	nd			31.6	Stima	1061	68.4	Calcolo automatizzato		nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			No
1255			Ballantine's Finest blended Scotch Whisky (40 vol%)		Bevande alcoliche/Spiritosi	0.9	per 100 ml	917	Calcolo automatizzato		221	Calcolo automatizzato		0	Stima	1129	nd			nd			nd			0	Stima	1129	0	Stima	1129	nd			nd			0	Stima	1129	0	Stima	1129	nd			31.6	Stima	1062	68.4	Calcolo automatizzato		nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			No
13426			Bevanda all'avena, naturale (Media di prodotti commerciali)		Latte e prodotti di latte/Prodotti sostituti del latte	1	per 100 ml	181	Calcolo automatizzato		43	Calcolo automatizzato		1.4	-	1682	0.1	-	1682	nd			nd			nd			6.6	-	1682	4.6	-	1682	nd			0.8	-	1682	0.7	-	1682	0.1	-	1682	nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			No
