ID	ID V 4.0	ID SwissFIR	Name	Synonyme	Kategorie	Spezifisches	Gewicht Matrixeinheit	Energie, Kilojoule	Herleitung des Wertes	Quelle	Energie, Kalorien	Herleitung des Wertes	Quelle	Fett, total (g)	Herleitung des Wertes	Quelle	Fettsäuren, gesättigt (g)	Herleitung des Wertes	Quelle	Fettsäuren, einfach ungesättigt (g)	Herleitung des Wertes	Quelle	Fettsäuren, mehrfach ungesättigt (g)	Herleitung des Wertes	Quelle	Cholesterin (mg)	Herleitung des Wertes	Quelle	Kohlenhydrate, verfügbar (g)	Herleitung des Wertes	Quelle	Zucker (g)	Herleitung des Wertes	Quelle	Stärke (g)	Herleitung des Wertes	Quelle	Nahrungsfasern (g)	Herleitung des Wertes	Quelle	Protein (g)	Herleitung des Wertes	Quelle	Salz (NaCl) (g)	Herleitung des Wertes	Quelle	Alkohol (g)	Herleitung des Wertes	Quelle	Wasser (g)	Herleitung des Wertes	Quelle	Vitamin A-Aktivität, RE (µg-RE)	Herleitung des Wertes	Quelle	Vitamin A-Aktivität, RAE (µg-RE)	Herleitung des Wertes	Quelle	All-trans Retinol-Äquivalente (µg-RE)	Herleitung des Wertes	Quelle	Betacarotin-Aktivität (µg-BCE)	Herleitung des Wertes	Quelle	Betacarotin (µg)	Herleitung des Wertes	Quelle	Vitamin B1 (Thiamin) (mg)	Herleitung des Wertes	Quelle	Vitamin B2 (Riboflavin) (mg)	Herleitung des Wertes	Quelle	Vitamin B6 (Pyridoxin) (mg)	Herleitung des Wertes	Quelle	Vitamin B12 (Cobalamin) (µg)	Herleitung des Wertes	Quelle	Niacin (mg)	Herleitung des Wertes	Quelle	Folat (µg)	Herleitung des Wertes	Quelle	Pantothensäure (mg)	Herleitung des Wertes	Quelle	Vitamin C (Ascorbinsäure) (mg)	Herleitung des Wertes	Quelle	Vitamin D (Calciferol) (µg)	Herleitung des Wertes	Quelle	Vitamin E-Aktivität (mg-ATE)	Herleitung des Wertes	Quelle	Kalium (K) (mg)	Herleitung des Wertes	Quelle	Natrium (Na) (mg)	Herleitung des Wertes	Quelle	Chlorid (Cl) (mg)	Herleitung des Wertes	Quelle	Calcium (Ca) (mg)	Herleitung des Wertes	Quelle	Magnesium (Mg) (mg)	Herleitung des Wertes	Quelle	Phosphor (P) (mg)	Herleitung des Wertes	Quelle	Eisen (Fe) (mg)	Herleitung des Wertes	Quelle	Jod (I) (µg)	Herleitung des Wertes	Quelle	Zink (Zn)  (mg)	Herleitung des Wertes	Quelle	Selen (Se) (µg)	Herleitung des Wertes	Quelle	Geänderter Eintrag
13435			Energy Drink, gezuckert  (Durchschnitt von Markenprodukten)		Alkoholfreie Getränke/Süssgetränke	1	pro 100 ml	185	Automatisierte Berechnung		44	Automatisierte Berechnung		0	-	1682	0	-	1682	k.A.			k.A.			k.A.			10.9	-	1682	10.8	-	1682	k.A.			0	-	1682	0	-	1682	0.2	-	1682	k.A.			89.1	-	1662	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			1.47	-	1682	1.75	-	1682	7.6	-	1682	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
13436			Energy Drink, mit Süssstoffen (Durchschnitt von Markenprodukten)		Alkoholfreie Getränke/Süssgetränke energievermindert	1	pro 100 ml	3	Automatisierte Berechnung		1	Automatisierte Berechnung		0	-	1682	0	-	1682	k.A.			k.A.			k.A.			0.2	-	1682	0	-	1682	k.A.			0	-	1682	0	-	1682	0.2	-	1682	k.A.			99.8	-	1662	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			1.54	-	1682	1.77	-	1682	7.77	-	1682	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1140	4063		Feldschlösschen 2.4 (Leichtbier, 2.4 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	106	Automatisierte Berechnung		25	Automatisierte Berechnung		0	-	1050	0	-	1050	k.A.			k.A.			0	Schätzung	1003	2.5	-	1050	<0.5	-	1050	k.A.			0	Schätzung	1003	<0.5	-	1050	k.A.			1.9	Schätzung	1050	95.1	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			<5	-	1050	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1158	3586		Feldschlösschen Alkoholfrei (<0.5 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	80	Automatisierte Berechnung		19	Automatisierte Berechnung		0	-	1052	0	-	1052	k.A.			k.A.			0	Schätzung	1003	3.5	-	1052	1	-	1052	k.A.			0	Schätzung	1003	<0.5	-	1052	k.A.			<0.4	-	1052	95.6	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			<5	-	1052	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1141	4062		Feldschlösschen Bügel (Lagerbier, 4.8 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	161	Automatisierte Berechnung		39	Automatisierte Berechnung		0	-	1054	0	-	1054	k.A.			k.A.			0	Schätzung	1003	2.5	-	1054	<0.5	-	1054	k.A.			0	Schätzung	1003	<0.5	-	1054	k.A.			3.8	Schätzung	1054	93.2	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			<5	-	1054	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1142	4089		Feldschlösschen Hopfenperle (Spezialbier hell, 5.2 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	170	Automatisierte Berechnung		41	Automatisierte Berechnung		0	-	1051	0	-	1051	k.A.			k.A.			0	Schätzung	1003	2.5	-	1051	<0.5	-	1051	k.A.			0	Schätzung	1003	<0.5	-	1051	k.A.			4.1	Schätzung	1051	92.9	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			<5	-	1051	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1143	4061		Feldschlösschen Original (Lagerbier, 4.8 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	161	Automatisierte Berechnung		39	Automatisierte Berechnung		0	-	1049	0	-	1049	k.A.			k.A.			0	Schätzung	1003	2.5	-	1049	<0.5	-	1049	k.A.			0	Schätzung	1003	<0.5	-	1049	k.A.			3.8	Schätzung	1049	93.2	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			<5	-	1049	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1144	4059		Feldschlösschen Urtrüb (3-Kornbier naturtrüb, 5 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	179	Automatisierte Berechnung		43	Automatisierte Berechnung		0	-	1053	0	-	1053	k.A.			k.A.			0	Schätzung	1003	3	-	1053	<0.5	-	1053	k.A.			0	Schätzung	1003	0.7	-	1053	k.A.			4	Schätzung	1053	92.3	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			<5	-	1053	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1257			Four Roses Bourbon (40 vol%)		Alkoholhaltige Getränke/Spirituosen	0.9	pro 100 ml	919	Automatisierte Berechnung		222	Automatisierte Berechnung		0	Schätzung	1129	k.A.			k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			31.7	Schätzung	1065	68.3	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1258			Glenlivet 12 years old Malt Scotch Whisky (40 vol%)		Alkoholhaltige Getränke/Spirituosen	0.9	pro 100 ml	919	Automatisierte Berechnung		222	Automatisierte Berechnung		0	Schätzung	1129	k.A.			k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			31.7	Schätzung	1066	68.3	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
